LinkEspEsq: .word 30, 16
.byte 255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,117,52,52,52,52,255,255,255,255,255,255,255,
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,94,30,94,30,37,52,52,52,116,116,190,255,255,255,255,
255,255,255,255,255,255,255,255,255,255,255,255,255,247,94,22,22,22,22,22,37,51,52,110,52,52,190,255,255,255,
255,255,255,255,255,255,255,255,255,255,255,255,255,255,183,22,22,22,22,22,22,37,110,103,53,51,181,255,255,255,
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,103,45,38,103,30,30,103,103,103,52,51,116,182,255,255,
255,255,255,255,255,255,255,255,255,255,255,190,118,111,111,103,37,102,103,30,30,103,103,30,37,44,52,52,181,255,
255,255,255,255,255,255,255,255,255,255,255,181,117,183,183,103,95,103,103,103,103,103,30,22,14,110,190,117,116,255,
255,174,166,174,174,174,174,174,174,174,166,109,117,183,183,103,103,103,103,110,45,45,45,45,45,182,255,254,190,255,
174,22,22,22,22,22,22,22,22,22,22,37,45,103,103,103,103,103,30,38,44,45,45,45,52,117,190,255,255,255,
102,22,22,22,22,22,22,22,22,22,22,37,45,103,110,103,103,30,22,22,22,22,22,22,37,52,181,255,255,255,
255,174,102,102,102,102,102,102,102,102,102,109,117,175,117,175,110,30,22,22,22,22,22,22,14,44,117,254,255,255,
255,255,255,255,255,255,255,255,255,255,255,181,116,190,255,183,109,37,37,37,29,22,22,22,29,44,52,116,254,255,
255,255,255,255,255,255,255,255,255,255,255,190,116,117,255,22,22,45,44,44,45,29,29,29,44,52,52,52,109,183,
255,255,255,255,255,255,255,255,255,255,255,255,255,255,183,22,29,29,29,29,37,52,52,52,52,52,52,37,22,22,
255,255,255,255,255,255,255,255,255,255,255,255,255,183,22,22,44,52,116,116,116,116,116,116,116,52,37,22,22,94,
255,255,255,255,255,255,255,255,255,255,255,255,183,30,22,22,30,183,255,255,255,255,255,255,255,102,22,22,102,255,


